!Women Art Revolution (2010)   3 stars, 1hr 22m  imdbClosed Captions: English
#1 Cheerleader Camp (2010)   3 stars, 1hr 35m  imdbClosed Captions: English Available in HD on your TV
Empires: Kingdom of David: The Saga of the Israelites (2003)   3.7 stars, 4 Episodes  imdb
Empires: Martin Luther (2002)   3.8 stars, 1hr 47m  imdb
Empires: The Medici, Godfathers of the Renaissance (2003)   3.9 stars, 4 Episodes  imdbClosed Captions: English
Empires of Industry: Andrew Carnegie and the Age of Steel (1997)   3.7 stars, 43m  imdbClosed Captions: English
Empires of Industry: Black Gold: The Story of Oil (1998)   3.7 stars, 43m  imdb
Empires of Industry: Brewed in America (2006)   3.6 stars, 48m  imdb
Empires of Industry: War Planes of World War II (1998)   3.8 stars, 43m  imdbClosed Captions: English
En la Cama (2005)   2.8 stars, 1hr 24m  imdbClosed Captions: English
Enchanted April (1992)   3.8 stars, 1hr 32m  imdbClosed Captions: English Available in HD on your TV
Encore (1951)   3.3 stars, 1hr 29m  imdbClosed Captions: English
Encounter at Raven's Gate (1988)   2.6 stars, 1hr 29m  imdbClosed Captions: English
Encounters at the End of the World (2007)   3.5 stars, 1hr 40m  imdbClosed Captions: English Available in HD on your TV
End of the Line (1987)   3.3 stars, 1hr 43m  imdbClosed Captions: English
End of the Road (2012)   3.9 stars, 55m  imdbClosed Captions: English Available in HD on your TV
End of the Spear (2005)   3.7 stars, 1hr 51m  imdbClosed Captions: English Available in HD on your TV
Enemies Among Us (2010)   2.6 stars, 1hr 15m  imdbClosed Captions: English Available in HD on your TV
Enemies of the People (2009)   3.1 stars, 1hr 33m  imdbAvailable in HD on your TV
English Without Tears (1944)   3.2 stars, 1hr 27m  imdbClosed Captions: English
Enlighten Up! (2008)   3.4 stars, 1hr 21m  imdbAvailable in HD on your TV
Enough (2002)   3.6 stars, 1hr 55m  imdbClosed Captions: English Available in HD on your TV
Enter the Dragon (1973)   4.1 stars, 1hr 42m  imdbClosed Captions: English Available in HD on your TV
Enter the Void (2009)   3.4 stars, 2hr 23m  imdbClosed Captions: English Available in HD on your TV
Entertaining Mr. Sloane (1970)   2.6 stars, 1hr 30m  imdbClosed Captions: English
Entrance (2012)   2.2 stars, 1hr 24m  imdbClosed Captions: English Available in HD on your TV
Entropy (1999)   2.4 stars, 1hr 49m  imdbClosed Captions: English
Episode 50 (2011)   2.7 stars, 1hr 21m  imdbClosed Captions: English Available in HD on your TV
Epitaph (2007)   3 stars, 1hr 45m  imdbClosed Captions: English
Equilibrium (2002)   3.7 stars, 1hr 47m  imdbAvailable in HD on your TV
Equus (1977)   3.3 stars, 2hr 17m  imdbClosed Captions: English Available in HD on your TV
Eric Clapton: Crossroads Guitar Festival 2010 (2010)   4 stars, 2 Episodes  imdbClosed Captions: English
Erik the Viking (1989)   3.3 stars, 1hr 43m  imdbClosed Captions: English Available in HD on your TV
Ermo (1994)   , 1hr 31m  imdbClosed Captions: English
Escanaba in da Moonlight (2000)   3.1 stars, 1hr 31m  imdbClosed Captions: English
Escape (2012)   3.6 stars, 1hr 27m  imdbClosed Captions: English Available in HD on your TV
Escape by Night (1960)   2.8 stars, 2hr 13m  imdbClosed Captions: English
Escape Clause (1996)   3.4 stars, 1hr 39m  imdbClosed Captions: English
Escape from Suburbia (2007)   3.4 stars, 1hr 34m  imdb
Escape from Zahrain (1962)   3.2 stars, 1hr 32m  imdbClosed Captions: English
Escape to Grizzly Mountain (1999)   3.3 stars, 1hr 36m  imdb
ESL: English as a Second Language (2005)   3.6 stars, 1hr 44m  imdbClosed Captions: English
ESPN: J.C. Chavez (2007)   3.7 stars, 1hr 14m  imdbClosed Captions: English
Essential Killing (2010)   2.8 stars, 1hr 24m  imdbClosed Captions: English Available in HD on your TV
Essex Boys (2000)   3.2 stars, 1hr 42m  imdbClosed Captions: English Available in HD on your TV
Eternal Evil of Asia (1995)   2.5 stars, 1hr 29m  imdbClosed Captions: English
Eternal Sunshine of the Spotless Mind (2004)   3.5 stars, 1hr 47m  imdbClosed Captions: English Available in HD on your TV
Eternity and a Day (1998)   3.1 stars, 2hr 9m  imdbClosed Captions: English
Ethan Frome (1993)   3.4 stars, 1hr 39m  imdbClosed Captions: English Available in HD on your TV
Ethos (2011)   4 stars, 1hr 8m  imdbClosed Captions: English Available in HD on your TV
Etoiles: Dancers of the Paris Opera Ballet (2001)   3.6 stars, 1hr 36m  imdbClosed Captions: English
Eureka (1983)   2.8 stars, 2hr 9m  imdbClosed Captions: English
Eureka (2006-2010)   4.2 stars, 4 Seasons  imdbClosed Captions: English Available in HD on your TV
Europa Europa (1990)   3.9 stars, 1hr 53m  imdbClosed Captions: English Available in HD on your TV
Eva (2010)   3.2 stars, 1hr 51m  imdbAvailable in HD on your TV
Eve's Bayou (1997)   3.6 stars, 1hr 48m  imdbClosed Captions: English Available in HD on your TV
Even the Rain (2010)   4 stars, 1hr 42m  imdbClosed Captions: English Available in HD on your TV
Everest: Beyond the Limit (2006-2009)   4 stars, 3 Seasons  imdbClosed Captions: English Available in HD on your TV
Everest: IMAX (1998)   3.6 stars, 45m  imdb
Everlasting Moments (2008)   3.6 stars, 2hr 11m  imdbClosed Captions: English Available in HD on your TV
Every Breath (1994)   2.4 stars, 1hr 28m  imdbClosed Captions: English Available in HD on your TV
Every Day (2010)   3.1 stars, 1hr 33m  imdbClosed Captions: English Available in HD on your TV
Every Which Way But Loose (1978)   3.4 stars, 1hr 54m  imdbClosed Captions: English Available in HD on your TV
Everybody's Baby: The Rescue of Jessica McClure (1989)   3.9 stars, 1hr 30m  imdbClosed Captions: English
Everybody's Famous (2000)   3.1 stars, 1hr 31m  imdbClosed Captions: English
Everybody's Fine (2009)   3.3 stars, 1hr 39m  imdbAvailable in HD on your TV
Everybody Loves Raymond (1996-2004)   3.5 stars, 9 Seasons  imdbClosed Captions: English Available in HD on your TV
Everybody Wins (1990)   2.9 stars, 1hr 37m  imdbClosed Captions: English
Everyday Black Man (2010)   3.6 stars, 1hr 50m  imdbClosed Captions: English Available in HD on your TV
Everyday Sunshine: The Story of Fishbone (2010)   3.9 stars, 1hr 47m  imdbClosed Captions: English Available in HD on your TV
Everyman's War (2009)   3.4 stars, 1hr 44m  imdbClosed Captions: English
Everyone Else (2009)   2.6 stars, 1hr 58m  imdbClosed Captions: English
Everything's Cool (2007)   3.5 stars, 1hr 30m  imdbClosed Captions: English
Everything Is Illuminated (2005)   3.7 stars, 1hr 45m  imdbClosed Captions: English Available in HD on your TV
Everything Must Go (2010)   3.3 stars, 1hr 37m  imdbClosed Captions: English Available in HD on your TV
Everything Will Happen Before You Die (2010)   2.2 stars, 1hr 27m  imdbClosed Captions: English
Evidence of Blood (1998)   3.6 stars, 1hr 49m  imdbClosed Captions: English
Evil (2003)   3.8 stars, 1hr 48m  imdbClosed Captions: English
Evil Ed (1995)   2.6 stars, 1hr 29m  imdb
Evil Eyes (2004)   2.7 stars, 1hr 20m  imdbAvailable in HD on your TV
Evil Remains (2004)   2.8 stars, 1hr 28m  imdbClosed Captions: English
Evil Weed (2009)   2.1 stars, 1hr 10m  imdbClosed Captions: English Available in HD on your TV
Evolver (1994)   2.9 stars, 1hr 31m  imdbClosed Captions: English
Exam (2009)   3.5 stars, 1hr 41m  imdbClosed Captions: English Available in HD on your TV
Examined Life (2008)   3.6 stars, 1hr 28m  imdbClosed Captions: English
Excel Saga (1999)   3.5 stars, 26 Episodes  imdb
Exiled (2006)   3.3 stars, 1hr 49m  imdbClosed Captions: English Available in HD on your TV
Exiled to Shanghai (1937)   2.3 stars, 1hr 5m  imdbClosed Captions: English
Exit Humanity (2011)   3.3 stars, 1hr 53m  imdbClosed Captions: English Available in HD on your TV
Exit Speed (2008)   3.5 stars, 1hr 31m  imdbClosed Captions: English Available in HD on your TV
Exit Strategy (2012)   2.5 stars, 1hr 19m  imdbClosed Captions: English Available in HD on your TV
Exit Through the Gift Shop (2010)   3.9 stars, 1hr 26m  imdbClosed Captions: English Available in HD on your TV
Exit Wounds (2001)   3.3 stars, 1hr 41m  imdbClosed Captions: English Available in HD on your TV
Exorcism: The Possession of Gail Bowers (2006)   3 stars, 1hr 31m  imdbClosed Captions: English Available in HD on your TV
Exorcismus (2010)   3.2 stars, 1hr 41m  imdbClosed Captions: English Available in HD on your TV
Expecting (2011)   , 1hr 23m  imdbClosed Captions: Brazilian Portuguese,English Available in HD on your TV
Expelled: No Intelligence Allowed (2008)   3.5 stars, 1hr 37m  imdbClosed Captions: English Available in HD on your TV
Explicit Ills (2008)   3.1 stars, 1hr 26m  imdbClosed Captions: English Available in HD on your TV
Explorers (1985)   3.7 stars, 1hr 49m  imdbClosed Captions: English Available in HD on your TV
Exposed (1947)   3.3 stars, 59m  imdbClosed Captions: English
Exposure (1991)   3 stars, 1hr 45m  imdbClosed Captions: English Available in HD on your TV
Exterminating Angels (2006)   2.8 stars, 1hr 43m  imdbClosed Captions: English
ExTerminators (2009)   3.4 stars, 1hr 31m  imdbAvailable in HD on your TV
Extract (2009)   3.2 stars, 1hr 31m  imdbAvailable in HD on your TV
Extreme Bodies (2008)   3.5 stars, 4 Episodes  imdbClosed Captions: English Available in HD on your TV
Extreme Cave Diving: Nova (2010)   3.9 stars, 52m  imdb
Extreme Close-Up (1990)   2.3 stars, 1hr 33m  imdbClosed Captions: English
Extreme Couponing (2011)   , 1 Season  imdbClosed Captions: English Available in HD on your TV
Extreme Engineering (2003-2006)   3.8 stars, 4 Collections  imdbClosed Captions: English Available in HD on your TV
Extreme Ice: Nova (2009)   3.9 stars, 53m  imdb
Extreme Justice (1993)   3.3 stars, 1hr 35m  imdbClosed Captions: English
Extremities (1986)   3.5 stars, 1hr 29m  imdbClosed Captions: English
Eye in the Sky (2007)   3.3 stars, 1hr 29m  imdbClosed Captions: English
Eye of the Beast (2007)   3.1 stars, 1hr 30m  imdbClosed Captions: English
Eye of the Beholder (2000)   2.9 stars, 1hr 41m  imdbClosed Captions: English Available in HD on your TV
Eye of the Dolphin (2006)   3.6 stars, 1hr 43m  imdbClosed Captions: English Available in HD on your TV
Eye of the Future (2011)   , 44m  imdbClosed Captions: English Available in HD on your TV
Eye of the Tiger (1986)   3.4 stars, 1hr 32m  imdbClosed Captions: English
Eye See You (2002)   3.2 stars, 1hr 35m  imdbClosed Captions: English Available in HD on your TV
Eyeborgs (2009)   2.9 stars, 1hr 42m  imdbClosed Captions: English Available in HD on your TV
Eyes of Texas (1948)   3.1 stars, 1hr 10m  imdbClosed Captions: English
Eyes of the Mothman (2011)   3.2 stars, 2hr 35m  imdbClosed Captions: English
Eyes Wide Open (2009)   3.5 stars, 1hr 32m  imdbClosed Captions: English
Eyewitness to Jesus (1998)   3.7 stars, 1hr 34m  imdbClosed Captions: English
F/X 2 (1991)   3.3 stars, 1hr 48m  imdbAvailable in HD on your TV
F.E.D.S. (2003)   3.4 stars, 1hr 25m  imdb
Faasle (1985)   2.4 stars, 2hr 19m  imdbClosed Captions: English
Fabricating Tom Ze (2006)   , 1hr 29m  imdbClosed Captions: Brazilian Portuguese,English,Spanish Available in HD on your TV
Fabulous Texan (1947)   3.1 stars, 1hr 35m  imdbClosed Captions: English
Face (2004)   3.2 stars, 1hr 22m  imdbClosed Captions: English
Face/Off (1997)   3.7 stars, 2hr 18m  imdbClosed Captions: English Available in HD on your TV
Face of Marble (1946)   2.8 stars, 1hr 12m  imdbClosed Captions: English
Face Off (1972)   2.7 stars, 1hr 41m  imdbClosed Captions: English
Faces in the Crowd (2011)   3.5 stars, 1hr 42m  imdbClosed Captions: English Available in HD on your TV
Fact or Faked: Paranormal Files (2010-2011)   3.9 stars, 2 Seasons  imdbClosed Captions: English Available in HD on your TV
Factotum (2005)   3 stars, 1hr 33m  imdbClosed Captions: English Available in HD on your TV
Fade In (1968)   , 1hr 32m  imdbClosed Captions: English
Fading of the Cries (2011)   2.7 stars, 1hr 33m  imdbClosed Captions: English,Spanish Available in HD on your TV
Fados (2007)   3.2 stars, 1hr 32m  imdbClosed Captions: English
Fagbug (2009)   3.3 stars, 1hr 22m  imdbClosed Captions: English
Fahrenheit 451 (1966)   3.4 stars, 1hr 36m  imdbClosed Captions: English
FahrenHYPE 9/11 (2004)   3.1 stars, 1hr 20m  imdb
Failan (2001)   3.2 stars, 1hr 56m  imdbClosed Captions: English
Failure to Launch (2006)   3.2 stars, 1hr 36m  imdbClosed Captions: English Available in HD on your TV
Faith Like Potatoes (2006)   3.8 stars, 1hr 56m  imdbClosed Captions: English Available in HD on your TV
Fake (2011)   3.3 stars, 1hr 46m  imdbClosed Captions: English Available in HD on your TV
Fall from Grace (2007)   3.4 stars, 1hr 12m  imdbClosed Captions: English Available in HD on your TV
Fallen Angels (1995)   3.5 stars, 1hr 38m  imdbClosed Captions: English
Falling Angels (2005)   3.2 stars, 1hr 44m  imdb
Fambul Tok (2011)   , 1hr 22m  imdbClosed Captions: English Available in HD on your TV
Familia (2005)   2.8 stars, 1hr 43m  imdbClosed Captions: English
Family (2006)   3.1 stars, 2hr 28m  imdbClosed Captions: English
Family Guy (1999-2010)   3.9 stars, 9 Seasons  imdbClosed Captions: English Available in HD on your TV
Family Sins (2004)   3.8 stars, 1hr 30m  imdbClosed Captions: English Available in HD on your TV
Family Ties (1982-1988)   3.6 stars, 7 Seasons  imdbClosed Captions: English
Family Values: An American Tragedy (1996)   2.9 stars, 56m  imdbClosed Captions: English
Fanaa (2006)   3.7 stars, 2hr 48m  imdbClosed Captions: English Available in HD on your TV
Fanboy & Chum Chum (2009)   3.8 stars, 1 Season  imdbAvailable in HD on your TV
Fanfare for a Death Scene (1964)   2.2 stars, 1hr 13m  imdbClosed Captions: English
Fangs (2002)   3 stars, 1hr 30m  imdbClosed Captions: English
Fantastic Four: World's Greatest Heroes (2006)   3.7 stars, 1 Season  imdbClosed Captions: English Available in HD on your TV
Far Cry (2008)   2.9 stars, 1hr 34m  imdbClosed Captions: English
Far from Heaven (2002)   3.4 stars, 1hr 47m  imdbClosed Captions: English Available in HD on your TV
Far from Home (1989)   3.1 stars, 1hr 29m  imdbClosed Captions: English Available in HD on your TV
Far Out Man (1990)   3.2 stars, 1hr 24m  imdbClosed Captions: English
Farewell (2009)   3.5 stars, 1hr 53m  imdbClosed Captions: English Available in HD on your TV
Farewell My Concubine (1993)   3.7 stars, 2hr 51m  imdbClosed Captions: English Available in HD on your TV
Farscape (1999-2002)   4 stars, 4 Seasons  imdbClosed Captions: English
Fascination (1979)   2.7 stars, 1hr 21m  imdbClosed Captions: English Available in HD on your TV
Fashion (2008)   3.6 stars, 2hr 45m  imdbClosed Captions: English
Fashion Model (1945)   3.1 stars, 1hr 1m  imdbClosed Captions: English
Fast and Loose (1954)   2.9 stars, 1hr 16m  imdbClosed Captions: English
Fast Break (1979)   3.1 stars, 1hr 47m  imdbClosed Captions: English
Fast Getaway II (1994)   3.2 stars, 1hr 34m  imdbClosed Captions: English
Fast Girl (2008)   3.4 stars, 1hr 25m  imdbClosed Captions: English Available in HD on your TV
Fast Girls (2012)   , 1hr 30m  imdbClosed Captions: English Available in HD on your TV
Fast Lane (2009)   3 stars, 1hr 18m  imdbClosed Captions: English
Fast Sofa (2001)   2.4 stars, 1hr 48m  imdbClosed Captions: English
Fastest (2011)   4.2 stars, 1hr 50m  imdbClosed Captions: English Available in HD on your TV
Fat, Sick & Nearly Dead (2010)   4.1 stars, 1hr 37m  imdbClosed Captions: English Available in HD on your TV
Fat Albert (1972-1976)   3.6 stars, 4 Seasons  imdbClosed Captions: English
Fat Albert's Christmas Special (1977)   3.5 stars, 22m  imdbClosed Captions: English
Fat City, New Orleans (2011)   1.9 stars, 1hr 36m  imdbAvailable in HD on your TV
Fat Head (2009)   3.5 stars, 1hr 44m  imdbClosed Captions: English Available in HD on your TV
Fatal Attraction (1987)   3.6 stars, 1hr 59m  imdbClosed Captions: English Available in HD on your TV
Fatal Attractions (2010)   3.8 stars, 1 Season  imdbClosed Captions: English Available in HD on your TV
Fatal Charm (1990)   3 stars, 1hr 29m  imdbClosed Captions: English
Fatal Memories (1992)   3.5 stars, 1hr 32m  imdbClosed Captions: English
Fate Fighter (2003)   2.9 stars, 1hr 27m  imdbClosed Captions: English
Father's Doing Fine (1952)   3 stars, 1hr 19m  imdbClosed Captions: English
Father of Lies (2007)   3.3 stars, 1hr 43m  imdbClosed Captions: English
Father of My Children (2009)   3.1 stars, 1hr 51m  imdbClosed Captions: English Available in HD on your TV
Father of the Pride (2004)   3.4 stars, 13 Episodes  imdbClosed Captions: English Available in HD on your TV
Father Ted (1995-1997)   3.8 stars, 3 Seasons  imdbClosed Captions: English
Father vs. Son (2010)   2.2 stars, 1hr 36m  imdbAvailable in HD on your TV
Fatherhood Dreams (2007)   2.9 stars, 54m  imdbClosed Captions: English Available in HD on your TV
Fathers of the Sport (2008)   3.3 stars, 1hr 19m  imdbAvailable in HD on your TV
Fatso (2008)   2.3 stars, 58m  imdbClosed Captions: English Available in HD on your TV
Faust (1926)   3.6 stars, 1hr 46m  imdbClosed Captions: English
Faust: Love of the Damned (2000)   2.7 stars, 1hr 40m  imdbClosed Captions: English
Fay Grim (2006)   3 stars, 1hr 58m  imdbAvailable in HD on your TV
FDR: Years of Crisis (1994)   3.6 stars, 49m  imdbClosed Captions: English
Fear in the Night (1947)   3 stars, 1hr 11m  imdbClosed Captions: English
Fear Island (2009)   3.6 stars, 1hr 30m  imdbClosed Captions: English Available in HD on your TV
Fear Itself (2008)   3.5 stars, 1 Season  imdbClosed Captions: English Available in HD on your TV
Fear Me Not (2008)   3 stars, 1hr 34m  imdbClosed Captions: English Available in HD on your TV
Fearless Frank (1967)   1.8 stars, 1hr 17m  imdbClosed Captions: English Available in HD on your TV
Fearless Planet (2007)   3.6 stars, 6 Episodes  imdbClosed Captions: English Available in HD on your TV
Fed Up! (2002)   3.6 stars, 57m  imdbClosed Captions: English
Federal Hill (1991)   3 stars, 1hr 40m  imdbClosed Captions: English
Feeding Frenzy (2008)   3.7 stars, 3 Episodes  imdbClosed Captions: English Available in HD on your TV
Feeding Grounds (2006)   2.3 stars, 1hr 21m  imdb
Feet of Clay (1960)   2.4 stars, 56m  imdbClosed Captions: English
Fela Kuti: Music Is the Weapon (1982)   3.9 stars, 52m  imdbClosed Captions: English
Felice... Felice... (1998)   , 1hr 39m  imdbClosed Captions: English
Felicity (1998-2001)   3.6 stars, 4 Seasons  imdbClosed Captions: English
Felix the Cat: Golden Anniversary Edition (1958)   3.7 stars, 11 Episodes  imdbClosed Captions: English
Fellini Satyricon (1969)   3.1 stars, 2hr 9m  imdbClosed Captions: English Available in HD on your TV
Female Misbehavior (1992)   2.1 stars, 1hr 21m  imdb
Female Perversions (1996)   2.8 stars, 1hr 53m  imdbClosed Captions: English
FernGully: The Last Rainforest (1992)   3.8 stars, 1hr 15m  imdbClosed Captions: English Available in HD on your TV
Festival! (2005)   3.4 stars, 1hr 37m  imdbClosed Captions: English
Festival Shorts Collection (2008)   2.5 stars, 8 Episodes  imdb
Fetishes (1996)   2.7 stars, 1hr 27m  imdbClosed Captions: English
Fever Night (2009)   1.7 stars, 1hr 22m  imdbClosed Captions: English Available in HD on your TV
Fever Pitch (1997)   3.1 stars, 1hr 38m  imdbClosed Captions: English Available in HD on your TV
Fidel (2002)   3.8 stars, 1hr 31m  imdbClosed Captions: English
Fido (2006)   3.4 stars, 1hr 31m  imdbClosed Captions: English Available in HD on your TV
Fierce People (2005)   3.3 stars, 1hr 51m  imdbClosed Captions: English Available in HD on your TV
Fifth Gear (2009-2010)   3.4 stars, 5 Seasons  imdbClosed Captions: English
Fifty Pills (2006)   3.1 stars, 1hr 23m  imdbClosed Captions: English Available in HD on your TV
Fight For Life (1987)   3.5 stars, 1hr 34m  imdbClosed Captions: English
Fight Night (2008)   3.5 stars, 1hr 45m  imdbClosed Captions: English
Fighter (2001)   3.3 stars, 1hr 26m  imdbClosed Captions: English
Fighting Back (1982)   3.2 stars, 1hr 36m  imdbClosed Captions: English
Film Geek (2005)   2.9 stars, 1hr 10m  imdbClosed Captions: English
Film Noir Collection: Detour (1945)   3.3 stars, 1hr 7m  imdbClosed Captions: English
Film School (2004)   3 stars, 1 Season  imdb
Film Socialisme (2010)   2.4 stars, 1hr 37m  imdbClosed Captions: English
Films of Fury: The Kung Fu Movie Movie (2011)   3.4 stars, 1hr 20m  imdbClosed Captions: English
Final Analysis (1992)   3.2 stars, 2hr 4m  imdbClosed Captions: English Available in HD on your TV
Final Combination (1994)   3.2 stars, 1hr 33m  imdbClosed Captions: English Available in HD on your TV
Final Days of Planet Earth (2006)   3.2 stars, 2 Episodes  imdbAvailable in HD on your TV
Final Encounter (2000)   2.9 stars, 1hr 38m  imdbClosed Captions: English Available in HD on your TV
Final Fantasy: The Spirits Within (2001)   3.5 stars, 1hr 45m  imdbAvailable in HD on your TV
Final Mission (1994)   3 stars, 1hr 31m  imdbClosed Captions: English
Finder's Fee (2001)   3.4 stars, 1hr 39m  imdbClosed Captions: English Available in HD on your TV
Finders Keepers (1967)   , 1hr 29m  imdbClosed Captions: English
Finding Bliss (2009)   3.1 stars, 1hr 36m  imdbClosed Captions: English Available in HD on your TV
Finding Forrester (2000)   3.8 stars, 2hr 16m  imdbAvailable in HD on your TV
Finding Jenua (2011)   , 1hr 9m  imdbAvailable in HD on your TV
Finding Mr. Destiny (2010)   3.7 stars, 1hr 51m  imdbClosed Captions: English Available in HD on your TV
Fingerprints (2006)   3.2 stars, 1hr 35m  imdbClosed Captions: English
Finish Line (2008)   3.2 stars, 1hr 25m  imdbClosed Captions: English
Fire and Ice (1983)   3.4 stars, 1hr 21m  imdbClosed Captions: English Available in HD on your TV
Fire Ants (2011)   , 48m  imdbAvailable in HD on your TV
Fire in Babylon (2010)   3.6 stars, 1hr 23m  imdbAvailable in HD on your TV
Fire in the Sky (1993)   3.5 stars, 1hr 49m  imdbClosed Captions: English Available in HD on your TV
Fire of Conscience (2010)   3.3 stars, 1hr 46m  imdbClosed Captions: English Available in HD on your TV
Fire on the Mountain (1996)   3.5 stars, 1hr 12m  imdbClosed Captions: English
Fire with Fire (1986)   3.6 stars, 1hr 44m  imdbClosed Captions: English
Fireball 500 (1966)   3.2 stars, 1hr 32m  imdbClosed Captions: English
Firefly (2002)   4.2 stars, 14 Episodes  imdbClosed Captions: English
Fireman Sam: Brave New Rescues (2008)   3.5 stars, 1hr 5m  imdbClosed Captions: English
Fireman Sam: Help Is Here! (2009)   3.4 stars, 46m  imdbClosed Captions: English
Fireman Sam: Hero Next Door (2009)   3.5 stars, 44m  imdbClosed Captions: English
Fireman Sam: Heroic Rescue Adventures (2012)   ,   imdb
Fireman Sam: Ready for Action (2010)   3.4 stars, 46m  imdbClosed Captions: English
Fireman Sam: Rescue on the Water (2012)   3.4 stars, 55m  imdbClosed Captions: English
Fireman Sam: Saves the Day (2008)   3.5 stars, 44m  imdbClosed Captions: English
Fireman Sam: To the Rescue (2004)   3.5 stars, 44m  imdbClosed Captions: English
Fireplace for Your Home (2010)   3.8 stars, 2 Episodes  imdbClosed Captions: English Available in HD on your TV
Fireproof (2008)   4.1 stars, 1hr 58m  imdbClosed Captions: English Available in HD on your TV
Fires Within (1991)   2.8 stars, 1hr 26m  imdb
Firestarter 2: Rekindled (2002)   3.2 stars, 2hr 48m  imdbClosed Captions: English
First a Girl (1935)   3.2 stars, 1hr 32m  imdbClosed Captions: English
First Command (2005)   3.6 stars, 3 Episodes  imdbClosed Captions: English
First Knight (1995)   3.5 stars, 2hr 13m  imdbClosed Captions: English Available in HD on your TV
First Light (1992)   2.9 stars, 1hr 30m  imdbClosed Captions: English
First Love (1977)   3 stars, 1hr 31m  imdbClosed Captions: English
First Love (2010)   ,   imdb
First Shot (2002)   3.4 stars, 1hr 31m  imdbClosed Captions: English Available in HD on your TV
Fish Out of Water (2009)   3.7 stars, 1hr  imdbClosed Captions: English
Fish Story (2009)   3.8 stars, 1hr 52m  imdbClosed Captions: English
Fish Tank (2009)   3.4 stars, 2hr 2m  imdbClosed Captions: English Available in HD on your TV
Fishing with John (1991)   3.7 stars, 1 Season  imdbClosed Captions: English
Fishtronaut (2009)   3.4 stars, 1 Season  imdb
Fist 2 Fist (2011)   3 stars, 1hr 32m  imdbClosed Captions: English Available in HD on your TV
Fist of the North Star (1995)   3 stars, 1hr 32m  imdbClosed Captions: English
Fitzwilly (1967)   3.7 stars, 1hr 42m  imdbClosed Captions: English Available in HD on your TV
Five Branded Women (1960)   3.3 stars, 1hr 41m  imdbClosed Captions: English
Five Days (2009)   3.6 stars, 1 Series  imdb
Five Golden Dragons (1967)   2.1 stars, 1hr 32m  imdbClosed Captions: English
Five Miles to Midnight (1962)   2.8 stars, 1hr 48m  imdbClosed Captions: English
Five Minutes Of Heaven (2009)   3.1 stars, 1hr 29m  imdbClosed Captions: English Available in HD on your TV
Five on the Black Hand Side (1973)   3.6 stars, 1hr 35m  imdbClosed Captions: English
Five Steps to Danger (1957)   3.4 stars, 1hr 20m  imdbClosed Captions: English
Fixation (2012)   3.4 stars, 40m  imdbAvailable in HD on your TV
Fixer: The Taking of Ajmal Naqshbandi (2009)   2.8 stars, 1hr 24m  imdbClosed Captions: English Available in HD on your TV
Fiza (2000)   3.1 stars, 2hr 43m  imdbClosed Captions: English
Flame and Citron (2008)   3.8 stars, 2hr 16m  imdbClosed Captions: English Available in HD on your TV
Flame in the Streets (1961)   , 1hr 33m  imdbClosed Captions: English
Flame of the Islands (1956)   2.7 stars, 1hr 30m  imdbClosed Captions: English
Flames of Desire (2010)   3.1 stars, 50 Episodes  imdbClosed Captions: English
Flaming Feather (1952)   3.5 stars, 1hr 17m  imdbClosed Captions: English
Flannel Pajamas (2006)   2.7 stars, 2hr 3m  imdbClosed Captions: English
Flash Gordon's Trip to Mars (1938)   3 stars, 15 Episodes  imdb
Flash Gordon: Space Soldiers (1936)   3.2 stars, 13 Episodes  imdbClosed Captions: English
Flash Gordon: Spaceship to the Unknown (1936)   3 stars, 1hr 38m  imdbClosed Captions: English
Flash Gordon: The Deadly Ray from Mars (1938)   2.9 stars, 1hr 36m  imdbClosed Captions: English
Flash Gordon: The Peril from Planet Mongo (1940)   2.9 stars, 1hr 24m  imdbClosed Captions: English
Flash Gordon: The Purple Death from Outer Space (1940)   2.8 stars, 1hr 28m  imdbClosed Captions: English
Flash Gordon Conquers the Universe (1940)   3 stars, 12 Episodes  imdbClosed Captions: English
Flash Point (2007)   3.8 stars, 1hr 27m  imdbClosed Captions: English Available in HD on your TV
Flashback (2000)   2.8 stars, 1hr 38m  imdbClosed Captions: English
FlashForward (2009)   3.8 stars, 1 Season  imdbClosed Captions: English Available in HD on your TV
Flashpoint (2008-2011)   4.2 stars, 4 Seasons  imdbClosed Captions: English Available in HD on your TV
Flat Top (1952)   3.5 stars, 1hr 24m  imdbClosed Captions: English
Flatbed Annie and Sweetie Pie: Lady Truckers (1979)   3.2 stars, 1hr 36m  imdbClosed Captions: English
Flatline (2012)   , 1hr 22m  imdbAvailable in HD on your TV
Flawless (2007)   3.4 stars, 1hr 48m  imdbClosed Captions: English Available in HD on your TV
Flawless (1999)   3.5 stars, 1hr 50m  imdbClosed Captions: English Available in HD on your TV
FLCL (2001)   4.2 stars, 6 Episodes  imdbAvailable in HD on your TV
Flesh & Blood (2007)   3.5 stars, 1hr 4m  imdb
Flesh Wounds (2011)   2.9 stars, 1hr 21m  imdbClosed Captions: English
Flight from Ashiya (1964)   3.2 stars, 1hr 42m  imdbClosed Captions: English
Flight of Black Angel (1991)   3.2 stars, 1hr 42m  imdbClosed Captions: English
Flight of the Innocent (1993)   3.2 stars, 1hr 45m  imdbClosed Captions: English
Flight to Hong Kong (1956)   2.7 stars, 1hr 28m  imdbClosed Captions: English
